!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM       UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
1     2     1     1.5995E-10 1.6770E-10 1.7800E-10 1.8513E-10 1.9300E-10 1.9821E-10 2.0200E-10 2.0900E-10 2.2000E-10 2.2800E-10 2.3700E-10 2.4280E-10 2.4700E-10 2.4800E-10 2.4400E-10 2.3800E-10 2.3100E-10 2.1800E-10 2.0500E-10 1.7700E-10 1.7700E-10 1.7700E-10 1.7700E-10 1.7700E-10 1.7700E-10 
2     3     1     1.0339E-10 1.0070E-10 9.7400E-11 9.5288E-11 9.3100E-11 8.6744E-11 8.2500E-11 7.6900E-11 7.2600E-11 7.1500E-11 7.1450E-11 7.4020E-11 7.5900E-11 8.1400E-11 9.5400E-11 1.1000E-10 1.2900E-10 1.5100E-10 1.6200E-10 1.6100E-10 1.6100E-10 1.6100E-10 1.6100E-10 1.6100E-10 1.6100E-10 
3     3     2     3.3968E-10 3.4026E-10 3.4100E-10 3.4149E-10 3.4200E-10 3.3075E-10 3.2300E-10 3.1400E-10 3.1100E-10 3.1300E-10 3.1650E-10 3.2375E-10 3.2900E-10 3.3200E-10 3.3000E-10 3.2600E-10 3.2000E-10 3.0700E-10 2.9100E-10 2.5500E-10 2.5500E-10 2.5500E-10 2.5500E-10 2.5500E-10 2.5500E-10 
4     4     1     5.0379E-11 4.5389E-11 3.9800E-11 3.6500E-11 3.3300E-11 2.7628E-11 2.4200E-11 1.9700E-11 1.6000E-11 1.4800E-11 1.4550E-11 1.5772E-11 1.6700E-11 1.8600E-11 2.1100E-11 2.2400E-11 2.3000E-11 2.1600E-11 1.9200E-11 1.4800E-11 1.4800E-11 1.4800E-11 1.4800E-11 1.4800E-11 1.4800E-11 
5     4     2     2.0470E-10 1.9620E-10 1.8600E-10 1.7957E-10 1.7300E-10 1.5790E-10 1.4800E-10 1.3600E-10 1.2600E-10 1.2300E-10 1.2200E-10 1.2719E-10 1.3100E-10 1.4300E-10 1.6900E-10 1.9300E-10 2.2200E-10 2.5200E-10 2.6500E-10 2.5900E-10 2.5900E-10 2.5900E-10 2.5900E-10 2.5900E-10 2.5900E-10 
6     4     3     3.3434E-10 3.4461E-10 3.5800E-10 3.6710E-10 3.7700E-10 3.7289E-10 3.7000E-10 3.6200E-10 3.5500E-10 3.5300E-10 3.5100E-10 3.5450E-10 3.5700E-10 3.5700E-10 3.5400E-10 3.4900E-10 3.4100E-10 3.2800E-10 3.1200E-10 2.7500E-10 2.7500E-10 2.7500E-10 2.7500E-10 2.7500E-10 2.7500E-10 
7     5     1     4.5882E-11 4.2795E-11 3.9200E-11 3.6999E-11 3.4800E-11 3.0836E-11 2.8300E-11 2.4900E-11 2.1800E-11 2.0400E-11 2.0050E-11 2.1112E-11 2.1900E-11 2.4200E-11 2.8100E-11 3.0600E-11 3.2600E-11 3.3800E-11 3.3400E-11 3.0500E-11 3.0500E-11 3.0500E-11 3.0500E-11 3.0500E-11 3.0500E-11 
8     5     2     1.1291E-10 1.0499E-10 9.5800E-11 9.0189E-11 8.4600E-11 7.2904E-11 6.5600E-11 5.4800E-11 4.4100E-11 3.9500E-11 3.7200E-11 3.7724E-11 3.8100E-11 3.9100E-11 4.0600E-11 4.1600E-11 4.3100E-11 4.5200E-11 4.5900E-11 4.3800E-11 4.3800E-11 4.3800E-11 4.3800E-11 4.3800E-11 4.3800E-11 
9     5     3     1.7068E-10 1.6949E-10 1.6800E-10 1.6703E-10 1.6600E-10 1.5766E-10 1.5200E-10 1.4400E-10 1.3800E-10 1.3700E-10 1.3800E-10 1.4546E-10 1.5100E-10 1.6500E-10 1.9300E-10 2.1800E-10 2.4900E-10 2.8100E-10 2.9500E-10 2.8800E-10 2.8800E-10 2.8800E-10 2.8800E-10 2.8800E-10 2.8800E-10 
10    5     4     2.5440E-10 2.7122E-10 2.9400E-10 3.1004E-10 3.2800E-10 3.3898E-10 3.4700E-10 3.5100E-10 3.5500E-10 3.5700E-10 3.5800E-10 3.6266E-10 3.6600E-10 3.6700E-10 3.6300E-10 3.5700E-10 3.4900E-10 3.3600E-10 3.2000E-10 2.8200E-10 2.8200E-10 2.8200E-10 2.8200E-10 2.8200E-10 2.8200E-10 
