!NUMBER OF ENERGY LEVELS
236
!NUMBER OF COLLISIONAL TRANSITIONS
17428
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                                2.0       3.0       5.0       7.0      10.0      15.0      20.0      30.0      50.0      70.0     100.0     150.0     200.0     300.0     500.0     700.0    1000.0    1500.0    2000.0    3000.0    5000.0    7000.0   10000.0   15000.0   20000.0
!NUM   UP   LOW   DOWN_COLL_RATES [cm^3 s^-1]
1     2     1     1.9200e-11 1.9933e-11 2.1400e-11 1.9800e-11 1.7400e-11 1.5000e-11 1.3600e-11 1.2200e-11 1.1900e-11 1.2500e-11 1.3900e-11 1.6200e-11 1.8200e-11 2.1200e-11 2.5000e-11 2.7500e-11 3.0300e-11 3.3200e-11 3.4900e-11 3.6000e-11 3.6000e-11 3.6000e-11 3.6000e-11 3.6000e-11 3.6000e-11
2     3     1     1.7300e-11 1.8067e-11 1.9600e-11 1.9480e-11 1.9300e-11 1.9400e-11 1.9800e-11 2.1300e-11 2.4800e-11 2.8200e-11 3.2800e-11 3.9000e-11 4.3900e-11 5.1700e-11 6.3100e-11 7.1400e-11 8.0700e-11 9.1200e-11 9.7800e-11 1.0500e-10 1.0500e-10 1.0500e-10 1.0500e-10 1.0500e-10 1.0500e-10
3     3     2     2.5900e-11 2.6667e-11 2.8200e-11 2.6480e-11 2.3900e-11 2.1100e-11 1.9400e-11 1.7800e-11 1.7600e-11 1.8800e-11 2.1400e-11 2.5900e-11 2.9900e-11 3.6200e-11 4.4500e-11 5.0400e-11 5.7500e-11 6.6500e-11 7.3000e-11 8.1100e-11 8.1100e-11 8.1100e-11 8.1100e-11 8.1100e-11 8.1100e-11
4     4     1     1.5000e-12 1.5433e-12 1.6300e-12 1.5620e-12 1.4600e-12 1.3800e-12 1.3600e-12 1.4000e-12 1.6400e-12 1.9800e-12 2.5700e-12 3.5800e-12 4.5200e-12 6.1200e-12 8.5100e-12 1.0400e-11 1.2600e-11 1.5400e-11 1.7500e-11 2.0100e-11 2.0100e-11 2.0100e-11 2.0100e-11 2.0100e-11 2.0100e-11
5     4     2     3.0500e-11 3.1667e-11 3.4000e-11 3.3320e-11 3.2300e-11 3.1700e-11 3.1900e-11 3.3400e-11 3.7800e-11 4.2400e-11 4.9000e-11 5.8500e-11 6.6400e-11 7.9200e-11 9.8500e-11 1.1300e-10 1.3000e-10 1.4900e-10 1.6200e-10 1.7600e-10 1.7600e-10 1.7600e-10 1.7600e-10 1.7600e-10 1.7600e-10
6     4     3     1.2900e-11 1.4200e-11 1.6800e-11 1.7080e-11 1.7500e-11 1.7200e-11 1.6900e-11 1.6800e-11 1.7900e-11 1.9800e-11 2.3000e-11 2.8300e-11 3.3100e-11 4.0700e-11 5.1400e-11 5.9100e-11 6.8200e-11 8.0000e-11 8.8900e-11 1.0100e-10 1.0100e-10 1.0100e-10 1.0100e-10 1.0100e-10 1.0100e-10
7     5     1     7.5700e-13 7.9700e-13 8.7700e-13 8.8100e-13 8.8700e-13 9.2700e-13 9.9100e-13 1.1600e-12 1.5900e-12 2.0800e-12 2.8300e-12 4.0400e-12 5.1300e-12 6.9800e-12 9.8800e-12 1.2200e-11 1.5100e-11 1.8600e-11 2.1000e-11 2.3300e-11 2.3300e-11 2.3300e-11 2.3300e-11 2.3300e-11 2.3300e-11
8     5     2     2.2900e-12 2.3867e-12 2.5800e-12 2.5120e-12 2.4100e-12 2.3400e-12 2.3500e-12 2.4700e-12 2.9800e-12 3.6600e-12 4.8100e-12 6.8300e-12 8.7500e-12 1.2100e-11 1.7000e-11 2.0800e-11 2.5600e-11 3.2000e-11 3.6800e-11 4.2400e-11 4.2400e-11 4.2400e-11 4.2400e-11 4.2400e-11 4.2400e-11
9     5     3     4.3100e-11 4.4433e-11 4.7100e-11 4.5620e-11 4.3400e-11 4.1700e-11 4.1300e-11 4.2000e-11 4.5600e-11 5.0100e-11 5.6600e-11 6.6300e-11 7.4600e-11 8.8500e-11 1.1000e-10 1.2600e-10 1.4500e-10 1.6700e-10 1.8200e-10 1.9500e-10 1.9500e-10 1.9500e-10 1.9500e-10 1.9500e-10 1.9500e-10
10    5     4     8.3500e-12 9.3667e-12 1.1400e-11 1.2200e-11 1.3400e-11 1.4300e-11 1.4900e-11 1.5700e-11 1.7600e-11 1.9700e-11 2.3200e-11 2.8700e-11 3.3600e-11 4.1600e-11 5.2900e-11 6.1000e-11 7.0600e-11 8.2900e-11 9.2000e-11 1.0200e-10 1.0200e-10 1.0200e-10 1.0200e-10 1.0200e-10 1.0200e-10
