!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM         UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
1     2     1     2.9540E-11 3.0819E-11 3.2510E-11 3.2757E-11 3.3020E-11 3.2709E-11 3.2490E-11 3.2570E-11 3.3370E-11 3.4150E-11 3.4870E-11 3.5320E-11 3.5290E-11 3.4920E-11 3.4210E-11 3.3960E-11 3.4090E-11 3.5183E-11 3.5980E-11 3.8180E-11 3.8180E-11 3.8180E-11 3.8180E-11 3.8180E-11 3.8180E-11 
2     3     1     2.8700E-11 2.8753E-11 2.8820E-11 2.9458E-11 3.0150E-11 3.0575E-11 3.0880E-11 3.1100E-11 3.1310E-11 3.1480E-11 3.1850E-11 3.2900E-11 3.4310E-11 3.7270E-11 4.2020E-11 4.5330E-11 4.8850E-11 5.2969E-11 5.6100E-11 6.0830E-11 6.0830E-11 6.0830E-11 6.0830E-11 6.0830E-11 6.0830E-11 
3     3     2     8.8900E-11 8.4081E-11 7.8380E-11 7.4961E-11 7.1500E-11 6.7257E-11 6.4400E-11 6.1180E-11 5.9720E-11 6.0520E-11 6.2500E-11 6.5280E-11 6.7040E-11 6.8850E-11 7.0210E-11 7.0960E-11 7.2000E-11 7.4291E-11 7.5960E-11 7.9830E-11 7.9830E-11 7.9830E-11 7.9830E-11 7.9830E-11 7.9830E-11 
4     4     1     4.6500E-12 4.7245E-12 4.8200E-12 4.9831E-12 5.1620E-12 5.3674E-12 5.5180E-12 6.0000E-12 7.2250E-12 8.4820E-12 1.0130E-11 1.2140E-11 1.3460E-11 1.5000E-11 1.6360E-11 1.6980E-11 1.7480E-11 1.7995E-11 1.8370E-11 1.9040E-11 1.9040E-11 1.9040E-11 1.9040E-11 1.9040E-11 1.9040E-11 
5     4     2     4.7340E-11 4.7446E-11 4.7580E-11 4.8792E-11 5.0110E-11 5.0576E-11 5.0910E-11 5.0810E-11 5.0620E-11 5.0630E-11 5.1000E-11 5.2420E-11 5.4510E-11 5.9370E-11 6.8160E-11 7.4810E-11 8.2040E-11 9.0103E-11 9.6300E-11 1.0490E-10 1.0490E-10 1.0490E-10 1.0490E-10 1.0490E-10 1.0490E-10 
6     4     3     1.1080E-10 1.0129E-10 9.0470E-11 8.4947E-11 7.9460E-11 7.4089E-11 7.0500E-11 6.6930E-11 6.5290E-11 6.6200E-11 6.8730E-11 7.2790E-11 7.5890E-11 8.0010E-11 8.4670E-11 8.7580E-11 9.0620E-11 9.4470E-11 9.7300E-11 1.0220E-10 1.0220E-10 1.0220E-10 1.0220E-10 1.0220E-10 1.0220E-10 
7     5     1     2.8190E-12 2.8243E-12 2.8310E-12 2.9645E-12 3.1130E-12 3.2891E-12 3.4200E-12 3.6410E-12 4.0400E-12 4.3660E-12 4.7250E-12 5.1330E-12 5.4800E-12 6.2240E-12 7.7930E-12 9.1380E-12 1.0600E-11 1.1788E-11 1.2710E-11 1.3090E-11 1.3090E-11 1.3090E-11 1.3090E-11 1.3090E-11 1.3090E-11 
8     5     2     6.1450E-12 6.8979E-12 7.9790E-12 8.7077E-12 9.5530E-12 1.0242E-11 1.0760E-11 1.1700E-11 1.3830E-11 1.6090E-11 1.9260E-11 2.3610E-11 2.6880E-11 3.1320E-11 3.6080E-11 3.8430E-11 3.9890E-11 3.8904E-11 3.8220E-11 3.4390E-11 3.4390E-11 3.4390E-11 3.4390E-11 3.4390E-11 3.4390E-11 
9     5     3     6.0580E-11 6.0118E-11 5.9540E-11 6.0859E-11 6.2290E-11 6.2337E-11 6.2370E-11 6.1230E-11 5.9680E-11 5.9060E-11 5.9100E-11 6.0540E-11 6.2760E-11 6.7740E-11 7.6550E-11 8.3100E-11 8.9530E-11 9.2981E-11 9.5510E-11 9.2910E-11 9.2910E-11 9.2910E-11 9.2910E-11 9.2910E-11 9.2910E-11 
10    5     4     8.2430E-11 8.3536E-11 8.4950E-11 8.3079E-11 8.1140E-11 7.6506E-11 7.3380E-11 6.9650E-11 6.7580E-11 6.8100E-11 7.0210E-11 7.4170E-11 7.7630E-11 8.2900E-11 8.9400E-11 9.2930E-11 9.4790E-11 9.0600E-11 8.7740E-11 7.7020E-11 7.7020E-11 7.7020E-11 7.7020E-11 7.7020E-11 7.7020E-11 
